gnerations , DifferentNumberOfGenome , averageFitness , varianceFitness , FirstQuartileFitness , medianFitness , thirdQuartileFitness, averageMatch , variance Match ,FirstQuartileMatch , medianMatch , thirdMatch , alive 
240,33,0.162722,0.00430828,0.116667,0.154167,0.191667,0.0133333,0.0131556,0,0,0,16
241,34,0.162711,0.00431319,0.120332,0.157676,0.190871,0.0133333,0.0131556,0,0,0,16
242,38,0.162755,0.00430066,0.115702,0.152893,0.190083,0.0133333,0.0131556,0,0,0,12
243,40,0.162195,0.00427491,0.115226,0.152263,0.1893,0,0,0,0,0,12
244,40,0.162077,0.00428572,0.114754,0.151639,0.192623,0,0,0,0,0,12
245,31,0.161959,0.00428184,0.114286,0.155102,0.191837,0,0,0,0,0,10
246,35,0.161463,0.00424375,0.117886,0.154472,0.191057,0,0,0,0,0,15
247,33,0.161781,0.00414384,0.117409,0.153846,0.190283,0,0,0,0,0,14
248,36,0.161505,0.00412847,0.116935,0.153226,0.189516,0,0,0,0,0,12
249,37,0.161446,0.00412294,0.116466,0.15261,0.196787,0,0,0,0,0,12
250,36,0.161173,0.0040895,0.12,0.152,0.2,0,0,0,0,0,9
251,35,0.160956,0.00408967,0.115538,0.151394,0.195219,0,0,0,0,0,8
252,40,0.160688,0.00404316,0.115079,0.154762,0.194444,0,0,0,0,0,12
253,39,0.160896,0.00399226,0.118577,0.15415,0.193676,0,0,0,0,0,12
254,42,0.160472,0.00398365,0.11811,0.153543,0.192913,0,0,0,0,0,12
255,42,0.160209,0.00394789,0.117647,0.152941,0.196078,0,0,0,0,0,11
256,36,0.160208,0.00386495,0.117188,0.152344,0.195312,0,0,0,0,0,9
257,37,0.159585,0.00383493,0.116732,0.151751,0.190661,0,0,0,0,0,10
258,39,0.159018,0.00380545,0.116279,0.151163,0.191936,0,0,0,0,0,12
259,36,0.158713,0.00376801,0.11583,0.15444,0.189189,0,0,0,0,0,11
260,40,0.158513,0.00374765,0.115385,0.153846,0.188462,0,0,0,0,0,14
261,41,0.158467,0.00375201,0.114943,0.153257,0.191571,0,0,0,0,0,14
262,36,0.158219,0.00374776,0.114504,0.152672,0.19084,0,0,0,0,0,14
263,38,0.15782,0.0037286,0.114068,0.152091,0.190114,0,0,0,0,0,16
264,31,0.158384,0.00363319,0.121212,0.151515,0.189394,0,0,0,0,0,13
265,37,0.157987,0.00359391,0.120755,0.150943,0.188679,0,0,0,0,0,10
266,37,0.157594,0.00360856,0.120301,0.150376,0.18797,0,0,0,0,0,10
267,37,0.157253,0.00359158,0.11985,0.149813,0.187266,0,0,0,0,0,8
268,39,0.156915,0.00354826,0.119403,0.149254,0.186567,0,0,0,0,0,10
269,35,0.156927,0.00348117,0.122677,0.148699,0.189591,0,0,0,0,0,10
270,36,0.156543,0.00345143,0.118519,0.148148,0.185185,0,0,0,0,0,14
271,33,0.157048,0.00342161,0.118081,0.147601,0.184502,0,0,0,0,0,15
272,38,0.15701,0.00343634,0.121324,0.147059,0.1875,0,0,0,0,0,14
273,36,0.157167,0.0034618,0.120879,0.14652,0.186813,0,0,0,0,0,11
